civ_emp_16_plus,civ_unemp_16_plus,med_h_Y,perc_below_pov_line,mean_com_time_min,priv_HI,pub_HI,uninsured,hh_w_child_pov_perc,zip
3630,1599,14398,64.4,26.9,3298,12796,1097,71.9,601
10851,913,16771,48.6,21.3,10576,26023,2095,51.9,602
11965,2575,15786,51.1,20.9,14296,30526,2397,61.6,603
1455,157,14980,59.4,18.6,1845,4685,193,58.1,606
8273,877,20167,45.4,21.0,9213,17524,1203,51.8,610
16189,3500,19402,46.3,24.6,20403,38664,3133,55.9,612
3114,734,18903,45.2,26.2,3784,5779,781,42.2,616
6622,1519,17702,46.2,25.2,8921,14449,1416,54.8,617
1811,293,15640,51.8,27.5,2649,4189,389,56.6,622
11823,1718,17699,50.7,25.8,16168,27316,1991,55.5,623
5565,1199,17161,54.7,29.0,5476,15440,797,65.3,624
9257,733,18571,45.6,30.9,8244,22135,1663,58.2,627
393,53,11476,69.5,30.2,233,1209,77,85.9,631
6344,1386,18430,48.7,24.7,7411,13997,1344,47.5,637
3496,991,17634,54.6,37.9,3648,12622,613,63.8,638
5788,2825,15402,54.0,34.4,6318,18960,1943,58.2,641
11732,2705,29757,32.9,33.9,17489,18841,2118,34.7,646
1068,656,13996,66.4,30.7,1527,4241,244,82.9,647
3993,1033,19368,53.2,27.1,3617,10105,606,73.0,650
975,167,22771,43.6,22.5,1287,2507,153,63.9,652
2002,986,10977,66.1,17.1,1890,8153,415,78.9,653
4481,1370,17865,54.6,23.2,5801,12503,642,69.5,656
12681,818,18998,45.2,29.1,13689,24369,2625,50.2,659
4953,1280,19848,42.4,22.3,6566,10138,618,55.2,660
10479,1316,17216,51.6,24.4,11649,26583,2237,53.7,662
3368,561,15740,58.4,22.7,3062,10683,988,71.5,664
5581,1345,14472,60.8,26.0,7077,16721,1091,72.4,667
6507,1052,17199,56.8,34.7,5937,17261,1470,63.2,669
2161,141,14712,48.4,26.3,2628,5664,238,61.6,670
10675,2402,18790,46.1,25.6,13202,24305,3051,53.9,674
10020,2963,16014,53.3,27.0,10070,24979,1753,60.2,676
4775,358,20027,43.2,22.0,5334,9008,706,52.2,677
7553,440,17204,46.5,26.4,6965,18122,1146,55.2,678
11303,3286,14825,52.1,23.3,14877,31208,1846,68.7,680
