housing_units_occ,homeowner_units_occ,renters_units_occ,med_rent,med_household_price,zip
5555,3562,1993,385,81800,601
12901,9867,3034,393,85600,602
19431,11098,8333,418,116000,603
1983,1490,493,353,86000,606
8864,6576,2288,433,87100,610
23327,14462,8865,394,96200,612
3478,2680,798,356,95100,616
8097,5939,2158,520,101400,617
2282,1678,604,442,116400,622
13929,9503,4426,479,103700,623
7312,5261,2051,438,77900,624
11349,8532,2817,489,93300,627
608,329,279,228,91000,631
7032,5386,1646,428,95700,637
5850,4170,1680,382,88000,638
9459,5417,4042,403,88900,641
11860,9251,2609,577,133400,646
1979,1494,485,-,83100,647
5092,3490,1602,561,94900,650
1401,1149,252,646,96900,652
3644,2442,1202,291,84100,653
6521,4719,1802,351,78200,656
13914,10318,3596,446,90700,659
6291,4559,1732,433,100500,660
14313,8946,5367,468,106800,662
5064,2907,2157,383,94100,664
8046,5248,2798,469,89000,667
9701,6178,3523,454,86800,669
2696,2042,654,273,85300,670
14885,10890,3995,511,105200,674
13523,8506,5017,409,89900,676
5467,3776,1691,484,124800,677
8911,6144,2767,459,98200,678
18449,10518,7931,426,87400,680
11640,6227,5413,404,114400,682
10877,7615,3262,418,80200,683
13881,9377,4504,403,96100,685
9691,6992,2699,497,103900,687
4112,2824,1288,450,89200,688
2343,1775,568,599,116300,690
11580,7903,3677,548,118700,692
19633,15125,4508,494,104500,693
16,16,0,-,-,694
11593,8634,2959,406,91500,698
8597,5596,3001,448,119500,703
2476,1989,487,520,80600,704
8750,6800,1950,478,109500,705
3874,2733,1141,424,84600,707
6057,4755,1302,435,87000,714
979,753,226,335,84300,715
11180,6979,4201,385,113400,716
6760,3178,3582,314,105200,717
8211,6213,1998,467,92900,718
8615,6026,2589,492,90300,719
6789,4589,2200,422,83800,720
6120,4187,1933,329,89300,723
30383,19679,10704,490,122200,725
19338,13805,5533,746,134100,727
13430,10401,3029,414,99600,728
16608,12240,4368,535,104400,729
11748,7512,4236,406,93100,730
4265,3003,1262,441,77800,731
4326,3104,1222,492,93100,735
17321,10929,6392,482,122100,736
11672,7883,3789,539,103200,738
11870,7612,4258,498,120500,739
740,297,443,369,81200,740
1336,1018,318,548,85600,741
15782,11816,3966,540,114700,745
7751,6106,1645,427,82500,751
13580,10149,3431,521,108500,754
7368,5780,1588,522,93000,757
2376,1674,702,612,96900,765
8100,5802,2298,434,90700,766
11687,8387,3300,454,87000,767
13130,10048,3082,467,91800,769
11904,9340,2564,548,115700,771
6633,4327,2306,371,89200,772
6660,4680,1980,470,111000,773
502,314,188,542,166700,775
13313,9575,3738,455,103000,777
14645,11684,2961,646,140600,778
4030,3466,564,776,95000,780
4906,2243,2663,481,101700,782
10624,7724,2900,529,98100,783
13902,9800,4102,385,84500,784
81,81,0,-,111600,786
16480,11874,4606,421,101000,791
8863,6202,2661,415,108700,794
14933,10906,4027,531,93000,795
3047,1160,1887,555,321800,901
102,86,16,-,370500,906
8504,5250,3254,859,234700,907
2353,1054,1299,503,129700,909
3757,1932,1825,715,294700,911
2734,1561,1173,578,124900,912
3186,536,2650,223,385700,913
10772,4529,6243,413,87200,915
8391,3909,4482,485,113800,917
7885,3867,4018,443,166400,918
6947,3876,3071,699,137700,920
13656,6552,7104,563,128400,921
10259,4505,5754,403,109200,923
19540,10526,9014,410,126700,924
3412,719,2693,444,132400,925
36288,25819,10469,584,168300,926
6043,3164,2879,533,197100,927
29,0,29,-,-,934
0,0,0,-,-,936
26044,19580,6464,615,124500,949
0,0,0,-,-,950
0,0,0,-,-,951
2832,1847,985,489,97400,952
22037,17984,4053,675,133100,953
24307,16959,7348,565,118800,956
14578,10409,4169,543,127800,957
17919,11615,6304,578,135900,959
0,0,0,-,-,960
11079,7247,3832,596,149400,961
6800,3777,3023,447,105500,962
2694,1568,1126,475,82500,965
5924,4225,1699,966,234900,966
1820,1301,519,865,197600,968
14606,10930,3676,810,216300,969
8828,5804,3024,623,131100,971
21565,14587,6978,545,143900,976
8662,5588,3074,917,167500,979
5809,3950,1859,580,134300,982
13143,8788,4355,551,132200,983
12167,8572,3595,533,129400,985
20296,14987,5309,721,138400,987
6871,5053,1818,1165,220900,1001
10182,5054,5128,1276,366900,1002
23,4,19,-,-,1003
1883,1743,140,1133,257200,1005
5667,4685,982,984,277000,1007
453,429,24,-,230200,1008
253,227,26,-,205700,1009
1494,1296,198,835,287900,1010
511,383,128,935,208200,1011
269,225,44,1023,249100,1012
9246,4702,4544,868,188600,1013
13109,8323,4786,988,193500,1020
1094,787,307,1563,123600,1022
442,335,107,911,223200,1026
8180,5282,2898,1001,271000,1027
5762,4772,990,1045,274100,1028
239,189,50,1675,276700,1029
4797,3780,1017,974,248400,1030
560,343,217,978,190000,1031
212,188,24,1125,260700,1032
2584,2256,328,915,267400,1033
850,806,44,1406,280500,1034
2256,1754,502,1152,331100,1035
2025,1878,147,1193,286400,1036
