total_pop,eighteen_plus,sixty_five_plus,nonhisp_white_perc,hisp_perc,nonhisp_black_perc,two_plus_races_perc,nonhisp_asian_perc,zip
17113,13553,3111,0.3,99.6,0.0,1.4,0.0,601
37751,30868,6853,6.7,92.5,0.0,9.1,0.0,602
47081,37904,9948,1.7,97.4,0.2,1.4,0.1,603
6392,5206,1274,0.8,99.2,0.0,1.2,0.0,606
26686,21683,5334,4.4,95.1,0.0,7.8,0.0,610
59369,47503,12799,0.6,99.1,0.1,1.5,0.0,612
10022,8660,2059,0.5,99.5,0.0,0.8,0.0,616
23750,18854,4510,0.3,99.5,0.0,0.9,0.0,617
6741,6006,2097,0.3,99.7,0.0,0.0,0.0,622
41746,33525,8813,0.3,99.6,0.0,1.1,0.1,623
21936,16903,3533,0.4,99.5,0.0,1.0,0.0,624
31598,25590,6067,1.0,98.9,0.1,0.7,0.0,627
1499,1286,459,0.0,100.0,0.0,0.0,0.0,631
22383,17936,4924,0.3,99.7,0.0,1.7,0.0,637
16412,13046,3339,1.0,99.0,0.0,3.0,0.0,638
26712,21634,5543,0.5,99.3,0.1,2.0,0.0,641
37095,28973,6246,2.1,97.8,0.0,5.1,0.1,646
5809,4686,1484,0.0,99.8,0.0,1.3,0.0,647
14534,11482,2637,1.0,99.0,0.0,1.3,0.0,650
3565,2893,803,1.1,98.9,0.0,0.3,0.0,652
10484,8296,2284,1.3,98.5,0.0,1.1,0.0,653
18485,14619,3702,0.4,99.4,0.0,0.7,0.2,656
39950,32412,7786,0.2,99.6,0.1,0.6,0.0,659
15943,13219,4302,0.1,99.8,0.0,1.7,0.0,660
39700,31998,7773,0.9,98.7,0.2,0.7,0.0,662
14693,11399,2355,0.3,99.7,0.0,2.9,0.0,664
23186,19045,5537,0.6,98.7,0.0,0.7,0.0,667
24803,19991,4857,0.5,99.2,0.0,0.2,0.0,669
8364,6649,1650,0.3,99.7,0.0,0.6,0.0,670
38971,31200,8005,1.3,97.9,0.3,1.0,0.0,674
