hs_incomp_25_plus,hs_grad_25_plus,bach_grad_25_plus,perc_bach_grad_and_above,zip
1259,3151,1729,16.4,601
2869,6924,4001,20.2,602
3413,9772,5561,23.0,603
679,1457,231,7.6,606
1678,5734,2799,18.6,610
3320,12740,7735,24.6,612
783,2022,1199,20.0,616
1380,5103,2891,21.8,617
732,1196,867,20.2,622
3145,7545,6163,27.0,623
1642,4532,2685,21.7,624
2061,5532,3550,20.8,627
127,259,148,14.9,631
1475,5132,2519,19.6,637
1352,3450,1448,15.8,638
1609,5411,2974,19.2,641
2004,7464,5338,30.0,646
387,1551,683,18.5,647
817,3517,1097,13.7,650
218,561,518,24.9,652
1032,2677,724,13.9,653
1127,3975,2499,24.7,656
2104,6568,5222,24.6,659
806,3790,2145,22.9,660
2563,8338,4489,22.5,662
729,3814,1252,18.1,664
2294,4373,1992,15.7,667
2005,4217,2712,18.9,669
669,1571,892,17.4,670
2565,8022,4635,22.2,674
2593,7816,3570,20.0,676
1294,2570,1865,23.1,677
1787,5828,2659,18.7,678
2743,9270,4894,22.5,680
1965,5100,4296,32.8,682
1793,6696,3681,23.6,683
2205,7201,3894,18.9,685
2063,5852,2907,16.5,687
829,2767,1415,19.3,688
293,1255,894,31.2,690
2332,6750,3777,22.8,692
4654,9786,5631,21.1,693
0,0,0,0.0,694
1931,8489,4858,24.7,698
1976,5465,2698,17.2,703
454,1834,704,18.8,704
1248,5460,2442,22.1,705
642,2034,1088,16.7,707
1258,4898,1725,16.2,714
342,701,118,7.8,715
1410,5577,4457,32.7,716
845,3421,2234,30.5,717
1541,5643,2590,20.3,718
2246,4891,2655,16.3,719
1760,4696,1894,16.9,720
851,3571,1489,15.3,723
4487,16811,11298,27.6,725
2031,8370,9260,36.5,727
2090,8744,5404,26.3,728
2977,11312,5839,22.4,729
1749,6856,3724,25.2,730
724,3168,1668,22.0,731
814,2914,1179,18.0,735
2174,10374,5551,23.6,736
1742,6883,4168,26.0,738
1363,7814,4124,24.5,739
145,520,139,11.6,740
449,832,324,13.7,741
3193,11643,6717,23.5,745
1478,5624,1906,16.7,751
2272,6844,3796,18.3,754
767,5840,2585,25.3,757
529,2405,679,18.0,765
897,5911,2589,20.1,766
2203,6132,3661,18.0,767
1859,10442,4591,21.9,769
2031,6316,4135,22.0,771
1635,5551,1312,11.9,772
1089,4098,1926,20.4,773
98,350,128,15.1,775
1968,7870,3940,19.3,777
2166,7655,7247,33.6,778
494,2260,1727,32.6,780
834,3614,1297,13.3,782
2441,5979,3243,19.1,783
2493,10749,4423,21.0,784
65,245,0,6.7,786
2963,10753,5716,24.0,791
1900,5770,2737,19.5,794
2815,9945,5930,24.7,795
453,1386,1077,38.5,901
0,0,43,92.1,906
459,1790,3337,53.3,907
213,936,663,34.7,909
250,670,1728,54.7,911
390,1013,866,34.1,912
338,1656,527,19.6,913
2153,5793,1463,11.2,915
1373,3973,2133,24.3,917
421,1412,3506,56.5,918
1075,2631,2823,32.7,920
1477,5648,4324,28.8,921
1815,4917,2375,21.5,923
2185,8103,6429,29.5,924
355,639,1010,36.0,925
2754,12422,18793,46.2,926
196,1370,3307,60.6,927
0,0,28,60.9,934
89,162,67,14.8,936
3382,13675,11204,29.1,949
0,0,0,-,950
0,0,0,-,951
632,1484,621,13.0,952
2967,11710,11147,29.6,953
4123,11094,8431,24.1,956
1822,7381,5380,25.9,957
1708,6779,8288,36.0,959
519,607,37,2.6,960
1591,5071,4624,32.4,961
1460,4169,1440,15.5,962
776,1779,482,10.2,965
266,1287,4031,60.5,966
56,222,1165,68.2,968
848,3942,10432,59.2,969
1708,4608,3321,23.0,971
2170,10156,10736,36.4,976
601,2213,3818,47.0,979
565,2987,2164,26.9,982
1429,6758,5088,28.7,983
1267,6828,4108,23.1,985
2418,9391,9863,35.3,987
773,4018,2640,32.3,1001
267,1904,3385,66.4,1002
25,19,13,16.2,1003
137,1377,572,32.8,1005
363,2339,2559,48.6,1007
54,298,208,34.4,1008
0,12,88,42.9,1009
88,799,596,36.4,1010
88,457,132,20.8,1011
30,178,61,27.6,1012
1776,4962,1963,21.5,1013
1866,8081,2814,18.4,1020
40,437,325,29.0,1022
17,223,124,39.3,1026
413,3836,3333,39.3,1027
487,2556,2858,42.6,1028
60,148,97,33.8,1029
344,2545,1765,34.6,1030
65,330,136,26.5,1031
3,85,108,49.8,1032
225,1139,1267,43.6,1033
62,570,370,32.4,1034
56,869,1302,54.7,1035
217,1161,779,35.3,1036
0,141,79,44.0,1037
32,582,578,44.2,1038
26,181,230,58.7,1039
3054,8933,3561,21.5,1040
111,586,385,29.1,1050
51,360,272,44.6,1053
65,214,360,65.1,1054
1529,5380,2504,22.9,1056
283,2255,1028,27.1,1057
489,1216,2840,64.7,1060
297,1487,1968,56.5,1062
0,0,0,-,1063
31,0,0,0.0,1066
37,397,324,36.7,1068
434,2014,1273,25.1,1069
13,135,108,45.3,1070
29,380,158,27.7,1071
25,129,327,67.2,1072
235,1268,891,41.6,1073
0,74,25,23.4,1074
476,2759,2649,42.6,1075
383,1773,1334,35.8,1077
0,237,115,31.0,1079
125,798,225,18.1,1080
58,501,198,23.2,1081
511,2771,1333,25.4,1082
182,937,434,25.4,1083
4,40,29,59.5,1084
1754,8285,5745,32.3,1085
0,0,0,-,1086
9,103,83,34.3,1088
1369,5221,3884,33.7,1089
24,209,277,47.8,1092
3,53,76,55.3,1093
33,80,40,32.7,1094
279,2495,2855,47.4,1095
81,499,387,40.3,1096
6,11,3,13.0,1097
44,266,181,36.0,1098
214,356,271,30.3,1103
2293,5596,1155,11.6,1104
1071,2345,479,11.7,1105
312,1474,3678,65.4,1106
1151,1522,432,11.7,1107
2537,5320,2026,19.9,1108
2080,5184,1822,16.6,1109
554,2969,1896,32.1,1118
672,3484,1127,19.2,1119
64,680,282,22.8,1128
289,1546,867,27.4,1129
801,2102,656,14.9,1151
0,0,0,-,1199
2077,9624,5934,29.1,1201
514,2430,1027,24.8,1220
82,242,57,15.8,1222
75,627,315,31.9,1223
12,37,13,30.7,1224
160,696,404,27.1,1225
267,1420,1221,35.1,1226
0,21,8,8.8,1229
341,1656,1163,41.2,1230
145,694,371,30.4,1235
59,167,205,55.8,1236
91,524,409,39.9,1237
169,1172,662,34.4,1238
143,701,1017,53.8,1240
0,76,101,43.0,1242
0,92,32,24.1,1243
0,42,10,10.6,1244
0,124,210,55.1,1245
935,3840,1502,23.4,1247
35,204,130,37.9,1253
22,175,188,49.6,1254
51,207,104,32.8,1255
47,215,62,19.5,1256
23,561,266,33.9,1257
0,85,126,58.6,1258
42,107,128,52.3,1259
52,42,80,41.9,1260
6,244,139,44.3,1262
0,55,20,42.8,1264
26,211,286,55.1,1266
206,634,962,61.5,1267
15,179,137,40.8,1270
813,3676,2696,34.7,1301
29,267,239,47.1,1330
674,3645,1286,19.9,1331
65,753,322,28.4,1337
5,36,0,36.1,1338
51,340,216,36.3,1339
62,441,237,33.3,1340
20,226,413,62.3,1341
5,208,228,47.8,1342
6,28,0,7.7,1343
65,438,106,17.7,1344
9,112,53,29.8,1346
8,38,25,24.5,1347
48,348,99,21.6,1349
0,35,5,10.4,1350
28,464,329,35.0,1351
27,310,456,49.5,1354
17,190,152,44.4,1355
175,646,457,38.3,1360
379,2247,715,19.2,1364
41,261,125,36.4,1366
24,135,84,33.2,1367
44,463,110,19.7,1368
122,675,840,44.5,1370
191,569,843,47.3,1373
29,666,588,48.0,1375
243,1500,551,24.2,1376
29,183,135,32.1,1378
23,155,182,47.1,1379
2457,9143,3697,21.0,1420
76,1033,1155,39.7,1430
119,777,514,33.2,1431
232,1338,1465,49.5,1432
38,473,306,30.9,1434
175,823,319,20.0,1436
62,158,8,6.8,1438
1158,5250,1748,18.3,1440
119,1092,3094,64.2,1450
43,280,1254,77.6,1451
71,923,676,31.6,1452
2094,8550,5656,29.2,1453
108,1316,2060,56.0,1460
339,2184,1705,37.1,1462
327,2179,2151,41.1,1463
446,2237,1040,24.4,1464
0,23,52,51.1,1467
269,703,643,25.4,1468
175,1418,1164,34.0,1469
167,1492,1485,40.4,1473
105,432,293,35.8,1474
427,2617,997,22.7,1475
452,3384,3111,40.5,1501
77,633,756,50.5,1503
228,2068,1554,35.4,1504
42,466,1143,57.5,1505
122,949,517,28.7,1506
312,2747,2203,37.2,1507
819,2848,2035,29.4,1510
110,396,348,36.6,1515
92,1508,1700,39.5,1516
97,902,704,43.6,1518
150,950,1567,52.6,1519
200,1837,3367,58.8,1520
83,513,297,27.9,1521
37,316,656,52.0,1522
571,1351,1425,38.5,1523
328,1356,864,29.4,1524
14,189,68,23.7,1525
