HI_0-5k,HI_5-10k,HI_10-15k,HI_15-20k,HI_20-25k,HI_25-35k,HI_35-50k,HI_50-75k,HI_75-100k,HI_100-150k,HI_150k_plus,zip
28.7,16.9,13.2,9.2,5.1,9.5,8.5,6.0,1.0,1.3,0.7,601
15.9,16.3,16.7,10.5,7.5,11.3,10.2,7.1,2.8,1.5,0.2,602
19.0,13.4,13.9,8.7,7.5,12.8,10.5,8.8,2.4,1.8,1.1,603
26.9,19.4,11.2,10.7,7.0,12.8,9.7,2.3,0.0,0.0,0.0,606
14.3,13.1,15.2,12.2,9.9,15.0,10.5,6.8,1.8,0.9,0.4,610
20.3,14.0,10.7,11.2,8.2,11.5,10.4,8.9,3.0,0.9,0.9,612
22.6,10.8,18.2,9.2,6.9,12.7,10.4,3.9,2.6,2.4,0.3,616
18.6,18.5,11.5,10.6,8.9,13.9,6.7,7.4,2.7,1.3,0.0,617
16.8,14.0,15.5,8.4,7.8,14.4,9.4,6.3,3.0,0.9,3.5,622
17.7,14.7,12.6,11.1,9.1,10.4,9.7,9.3,2.6,2.2,0.5,623
15.3,16.1,14.7,10.9,8.5,14.8,10.7,6.4,1.5,1.0,0.1,624
15.1,13.0,14.6,13.2,9.4,11.8,10.7,8.2,2.3,1.2,0.7,627
36.4,22.1,13.4,7.1,3.1,5.9,4.9,7.1,0.0,0.0,0.0,631
19.1,16.3,14.9,9.4,8.1,10.0,10.3,8.8,2.1,0.9,0.1,637
23.6,17.6,14.6,11.3,6.4,9.9,8.6,6.5,1.2,0.5,0.0,638
20.9,12.1,13.8,11.0,8.3,13.3,10.8,7.1,1.9,0.8,0.1,641
14.0,7.5,8.1,10.9,6.4,10.8,13.8,14.2,4.1,6.6,3.4,646
15.6,19.5,22.1,15.7,6.7,9.1,4.4,5.1,1.7,0.2,0.0,647
19.7,12.6,16.2,9.8,12.5,10.2,11.6,6.5,1.0,0.0,0.0,650
9.2,17.8,14.2,10.1,14.6,11.0,7.5,7.8,2.3,5.6,0.0,652
27.0,13.6,16.5,13.0,6.3,7.6,10.2,3.5,0.9,0.7,0.7,653
15.0,19.4,16.1,12.3,8.8,10.9,8.6,6.4,0.8,1.7,0.1,656
13.6,13.6,15.7,10.7,7.8,13.2,10.3,8.3,3.6,2.9,0.1,659
10.0,17.4,11.4,9.8,10.6,14.7,12.3,9.8,2.5,1.3,0.1,660
17.6,16.5,12.3,11.2,8.7,11.7,11.6,6.8,2.0,1.2,0.3,662
19.7,13.0,15.7,8.7,12.4,14.2,7.6,6.0,1.6,1.1,0.0,664
22.8,17.3,15.9,11.3,8.1,8.4,9.6,4.2,1.4,0.7,0.4,667
25.1,16.5,15.3,7.8,6.9,10.5,9.9,5.3,1.4,0.8,0.4,669
28.6,14.5,10.9,7.4,10.0,11.3,10.6,4.8,1.0,0.8,0.0,670
18.0,13.8,12.0,8.7,9.3,11.8,11.6,7.9,3.7,2.5,0.5,674
19.1,17.9,15.3,10.4,7.1,9.9,10.8,7.0,1.3,0.9,0.2,676
15.0,14.7,11.2,13.9,9.8,13.6,11.9,7.4,1.0,0.7,0.8,677
16.5,17.3,15.7,13.2,9.8,9.3,9.5,6.2,1.1,0.9,0.5,678
23.9,13.8,13.4,10.1,8.2,11.9,9.2,5.8,1.7,1.1,0.9,680
28.5,11.5,8.5,9.5,7.0,11.4,8.7,7.3,2.9,2.6,2.2,682
18.4,15.9,15.3,8.9,8.7,11.9,9.3,6.9,1.8,1.8,1.0,683
24.0,14.5,14.2,11.4,8.5,10.9,8.3,5.7,1.6,0.5,0.3,685
18.1,13.4,11.5,12.4,10.5,13.3,11.3,5.8,2.7,0.6,0.5,687
18.0,16.9,15.9,10.4,8.3,12.9,9.5,6.7,0.7,0.5,0.2,688
12.6,11.7,14.1,9.4,15.6,8.4,11.4,10.8,3.8,2.2,0.0,690
17.3,10.4,13.7,11.5,7.7,12.4,11.5,7.5,4.5,1.7,1.7,692
19.8,13.2,11.8,10.8,6.9,10.5,10.0,11.5,3.1,1.7,0.6,693
0.0,35.9,64.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694
21.3,16.7,12.6,10.3,7.1,10.8,10.3,6.8,2.7,0.9,0.6,698
19.0,16.0,14.4,10.2,9.1,12.1,9.3,6.3,1.4,1.6,0.6,703
19.5,16.2,15.9,7.9,10.9,12.0,6.3,9.3,2.1,0.0,0.0,704
13.2,16.3,13.7,11.1,8.3,14.4,9.9,10.4,1.6,1.1,0.0,705
14.5,15.7,13.3,8.4,13.5,17.0,8.7,7.5,0.4,0.5,0.5,707
16.4,17.4,13.3,11.9,9.0,15.2,9.8,6.1,0.2,0.3,0.4,714
19.2,19.2,23.6,13.6,4.1,7.9,4.1,5.8,2.6,0.0,0.0,715
21.8,13.2,9.2,8.0,8.6,12.4,9.1,7.6,4.2,3.1,2.8,716
29.2,16.2,11.9,7.7,5.3,10.8,8.0,7.0,2.1,0.8,0.8,717
16.3,10.9,11.1,15.4,9.8,13.6,10.8,9.6,1.4,0.4,0.6,718
13.4,13.5,13.0,11.3,9.0,15.1,11.2,8.6,2.8,1.1,0.8,719
21.4,14.1,14.9,11.9,8.9,12.5,10.4,4.8,0.2,0.6,0.2,720
20.8,17.2,16.3,11.6,5.5,11.4,8.5,6.6,0.9,0.3,0.8,723
15.6,11.7,11.6,11.0,8.2,11.3,10.6,10.6,5.9,2.4,1.1,725
7.9,9.4,8.6,7.7,7.8,15.5,14.2,13.3,6.2,5.7,3.6,727
15.5,12.3,13.2,13.5,8.0,11.7,11.9,9.4,3.0,1.0,0.4,728
14.4,11.6,11.4,11.2,7.8,12.1,15.7,9.4,3.1,2.1,1.1,729
22.6,15.4,11.9,9.7,7.9,10.5,9.5,6.2,3.2,1.6,1.5,730
22.5,12.4,12.4,10.6,5.9,15.4,12.3,4.7,1.3,1.2,1.4,731
11.4,12.7,12.5,12.9,9.0,14.3,16.1,6.0,2.0,2.8,0.4,735
11.1,14.2,12.9,10.7,9.2,12.3,12.4,8.7,4.0,3.4,1.2,736
16.0,10.7,10.4,13.2,8.0,15.4,11.8,9.2,3.5,1.4,0.3,738
12.7,10.5,12.1,11.7,9.0,11.9,11.8,11.3,4.3,3.2,1.5,739
20.6,19.9,11.8,11.0,12.7,10.1,7.1,4.1,2.7,0.0,0.0,740
8.8,11.3,12.5,16.8,8.2,16.9,16.2,5.8,1.7,0.6,1.1,741
11.0,10.7,10.6,11.9,8.3,14.5,15.1,12.2,3.5,1.6,0.7,745
18.2,16.2,12.7,11.5,9.3,10.8,12.0,5.8,3.4,0.1,0.0,751
16.3,13.4,15.5,10.4,8.5,11.3,10.9,8.4,3.2,1.5,0.7,754
21.8,11.8,15.8,9.4,8.0,8.3,9.1,9.7,4.2,1.5,0.4,757
8.0,15.1,15.4,15.6,6.5,16.7,16.0,5.1,1.7,0.0,0.0,765
14.0,14.4,11.9,12.6,7.6,15.8,12.5,7.3,2.7,1.0,0.1,766
18.9,13.1,15.1,9.0,9.5,13.9,11.0,6.9,1.4,0.9,0.3,767
17.5,14.1,11.1,10.1,9.0,11.6,12.7,8.8,2.6,1.3,1.1,769
19.1,12.3,10.1,8.5,9.8,12.9,14.3,7.8,2.9,1.3,1.0,771
23.8,12.0,12.8,10.3,8.3,11.2,12.6,6.3,1.9,0.7,0.1,772
14.0,14.8,11.6,10.3,10.2,10.0,12.3,10.1,4.2,1.8,0.8,773
11.0,15.0,11.6,12.0,12.2,15.6,12.6,5.0,4.8,0.0,0.0,775
15.0,13.3,11.2,12.2,9.4,13.5,11.9,10.0,1.8,1.0,0.7,777
10.1,9.3,9.0,7.4,5.7,12.8,12.8,14.0,9.3,5.3,4.3,778
16.9,13.4,8.4,8.1,11.7,14.4,6.4,9.2,2.2,5.2,4.0,780
27.1,15.1,14.1,11.6,8.3,9.6,7.0,5.4,1.0,0.6,0.4,782
22.5,14.4,14.6,9.4,8.0,11.5,8.8,7.5,1.2,1.1,1.0,783
20.0,13.7,15.2,12.2,6.3,10.8,10.8,7.6,1.4,1.8,0.3,784
0.0,0.0,19.7,34.2,13.7,0.0,8.5,23.9,0.0,0.0,0.0,786
14.5,10.0,12.4,15.0,7.9,14.5,9.6,9.4,3.1,1.9,1.6,791
21.5,16.6,12.4,12.1,5.9,11.0,10.8,6.8,1.3,1.2,0.2,794
13.5,11.4,12.7,11.4,10.9,12.6,11.8,10.5,2.6,2.0,0.6,795
22.5,12.3,12.4,7.1,5.8,6.6,7.2,5.8,5.9,5.4,9.0,901
9.1,0.0,0.0,0.0,0.0,20.0,23.6,0.0,0.0,36.4,10.9,906
8.3,6.3,9.3,9.3,8.1,11.7,12.9,11.9,6.2,7.2,8.9,907
