year,2015,2016,2017,2018,2019,2020,2021,2022,2023
HI_0-5k,S2503_C01_002E,S2503_C01_002E,S2503_C01_002E,S2503_C01_002E,S2503_C01_002E,S2503_C01_002E,S2503_C01_002E,S2503_C01_002E,S2503_C01_002E
HI_5-10k,S2503_C01_003E,S2503_C01_003E,S2503_C01_003E,S2503_C01_003E,S2503_C01_003E,S2503_C01_003E,S2503_C01_003E,S2503_C01_003E,S2503_C01_003E
HI_10-15k,S2503_C01_004E,S2503_C01_004E,S2503_C01_004E,S2503_C01_004E,S2503_C01_004E,S2503_C01_004E,S2503_C01_004E,S2503_C01_004E,S2503_C01_004E
HI_15-20k,S2503_C01_005E,S2503_C01_005E,S2503_C01_005E,S2503_C01_005E,S2503_C01_005E,S2503_C01_005E,S2503_C01_005E,S2503_C01_005E,S2503_C01_005E
HI_20-25k,S2503_C01_006E,S2503_C01_006E,S2503_C01_006E,S2503_C01_006E,S2503_C01_006E,S2503_C01_006E,S2503_C01_006E,S2503_C01_006E,S2503_C01_006E
HI_25-35k,S2503_C01_007E,S2503_C01_007E,S2503_C01_007E,S2503_C01_007E,S2503_C01_007E,S2503_C01_007E,S2503_C01_007E,S2503_C01_007E,S2503_C01_007E
HI_35-50k,S2503_C01_008E,S2503_C01_008E,S2503_C01_008E,S2503_C01_008E,S2503_C01_008E,S2503_C01_008E,S2503_C01_008E,S2503_C01_008E,S2503_C01_008E
HI_50-75k,S2503_C01_009E,S2503_C01_009E,S2503_C01_009E,S2503_C01_009E,S2503_C01_009E,S2503_C01_009E,S2503_C01_009E,S2503_C01_009E,S2503_C01_009E
HI_75-100k,S2503_C01_010E,S2503_C01_010E,S2503_C01_010E,S2503_C01_010E,S2503_C01_010E,S2503_C01_010E,S2503_C01_010E,S2503_C01_010E,S2503_C01_010E
HI_100-150k,S2503_C01_011E,S2503_C01_011E,S2503_C01_011E,S2503_C01_011E,S2503_C01_011E,S2503_C01_011E,S2503_C01_011E,S2503_C01_011E,S2503_C01_011E
HI_150k_plus,S2503_C01_012E,S2503_C01_012E,S2503_C01_012E,S2503_C01_012E,S2503_C01_012E,S2503_C01_012E,S2503_C01_012E,S2503_C01_012E,S2503_C01_012E
