OID_COUSUB_22|GEOID_COUSUB_22|NAMELSAD_COUSUB_22|AREALAND_COUSUB_22|AREAWATER_COUSUB_22|MTFCC_COUSUB_22|CLASSFP_COUSUB_22|FUNCSTAT_COUSUB_22|OID_ZCTA5_20|GEOID_ZCTA5_20|NAMELSAD_ZCTA5_20|AREALAND_ZCTA5_20|AREAWATER_ZCTA5_20|MTFCC_ZCTA5_20|CLASSFP_ZCTA5_20|FUNCSTAT_ZCTA5_20|AREALAND_PART|AREAWATER_PART
276901151027358|0911001080|Andover town|40012484|635900|G4040|T1|A|221704257529749|06043|ZCTA5 06043|37326694|766251|G6350|B5|S|12137|0
276901151027358|0911001080|Andover town|40012484|635900|G4040|T1|A|221704257530032|06232|ZCTA5 06232|40000347|635900|G6350|B5|S|40000347|635900
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|221704257529606|06001|ZCTA5 06001|63323447|1223478|G6350|B5|S|59982586|1118863
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|221704257529663|06023|ZCTA5 06023|2576770|5731|G6350|B5|S|2576770|5731
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|221704257529718|06037|ZCTA5 06037|65964528|1739143|G6350|B5|S|65522680|1739143
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|221704257529757|06051|ZCTA5 06051|10628787|0|G6350|B5|S|9637|0
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|221704257529762|06052|ZCTA5 06052|6715651|55654|G6350|B5|S|38236|0
27690331919328|0911005910|Bloomfield town|67562264|430688|G4040|T1|A|221704257529606|06001|ZCTA5 06001|63323447|1223478|G6350|B5|S|2627019|21591
27690331919328|0911005910|Bloomfield town|67562264|430688|G4040|T1|A|221704257529616|06002|ZCTA5 06002|66543989|409097|G6350|B5|S|64935245|409097
276901151027359|0911006260|Bolton town|37314557|766251|G4040|T1|A|221704257529749|06043|ZCTA5 06043|37326694|766251|G6350|B5|S|37314557|766251
27690331919331|0911012270|Canton town|63676508|1137667|G4040|T1|A|221704257529653|06019|ZCTA5 06019|58367443|1137667|G6350|B5|S|58367443|1137667
27690331919331|0911012270|Canton town|63676508|1137667|G4040|T1|A|221704257529655|06020|ZCTA5 06020|295410|0|G6350|B5|S|295410|0
27690331919331|0911012270|Canton town|63676508|1137667|G4040|T1|A|221704257529660|06022|ZCTA5 06022|4332448|0|G6350|B5|S|4332448|0
27690331919331|0911012270|Canton town|63676508|1137667|G4040|T1|A|221704257529781|06059|ZCTA5 06059|681207|0|G6350|B5|S|681207|0
276901151027360|0911016400|Columbia town|55355051|1587988|G4040|T1|A|221704257530044|06237|ZCTA5 06237|55355051|1587988|G6350|B5|S|55355051|1587988
276901151027361|0911017800|Coventry town|97308019|1744460|G4040|T1|A|221704257530047|06238|ZCTA5 06238|97308019|1744460|G6350|B5|S|97308019|1744460
27690331919332|0911022070|East Granby town|45443300|261880|G4040|T1|A|221704257529667|06026|ZCTA5 06026|45434081|236982|G6350|B5|S|45434081|236982
27690331919332|0911022070|East Granby town|45443300|261880|G4040|T1|A|221704257529705|06035|ZCTA5 06035|41021626|373675|G6350|B5|S|9219|24898
27690331919333|0911022630|East Hartford town|46638315|1904155|G4040|T1|A|221704257529971|06108|ZCTA5 06108|21091775|1168938|G6350|B5|S|21091775|1168938
27690331919333|0911022630|East Hartford town|46638315|1904155|G4040|T1|A|221704257530013|06118|ZCTA5 06118|25546540|735217|G6350|B5|S|25546540|735217
27690331919334|0911024800|East Windsor town|67989003|1466611|G4040|T1|A|221704257529647|06016|ZCTA5 06016|38846824|169589|G6350|B5|S|38846824|169589
27690331919334|0911024800|East Windsor town|67989003|1466611|G4040|T1|A|221704257529897|06088|ZCTA5 06088|29142179|1297022|G6350|B5|S|29142179|1297022
276901151027362|0911025360|Ellington town|88164953|1380866|G4040|T1|A|221704257529679|06029|ZCTA5 06029|84697460|1380866|G6350|B5|S|84691773|1380866
276901151027362|0911025360|Ellington town|88164953|1380866|G4040|T1|A|221704257529807|06066|ZCTA5 06066|45896960|988545|G6350|B5|S|9877|0
276901151027362|0911025360|Ellington town|88164953|1380866|G4040|T1|A|221704257529859|06076|ZCTA5 06076|224238029|4286234|G6350|B5|S|2305065|0
276901151027362|0911025360|Ellington town|88164953|1380866|G4040|T1|A|221704257529889|06084|ZCTA5 06084|103786210|1630211|G6350|B5|S|1158238|0
27690331919335|0911025990|Enfield town|86292324|2446885|G4040|T1|A|221704257529884|06082|ZCTA5 06082|86292324|2446885|G6350|B5|S|86292324|2446885
27690331919336|0911027600|Farmington town|72265587|2271280|G4040|T1|A|221704257529606|06001|ZCTA5 06001|63323447|1223478|G6350|B5|S|298235|0
27690331919336|0911027600|Farmington town|72265587|2271280|G4040|T1|A|221704257529690|06032|ZCTA5 06032|59796370|1842879|G6350|B5|S|59450194|1842879
27690331919336|0911027600|Farmington town|72265587|2271280|G4040|T1|A|221704257529772|06053|ZCTA5 06053|20585986|131730|G6350|B5|S|727702|0
27690331919336|0911027600|Farmington town|72265587|2271280|G4040|T1|A|221704257529790|06062|ZCTA5 06062|22671396|191859|G6350|B5|S|3396|0
27690331919336|0911027600|Farmington town|72265587|2271280|G4040|T1|A|221704257529893|06085|ZCTA5 06085|11647543|329112|G6350|B5|S|11647543|329112
27690331919336|0911027600|Farmington town|72265587|2271280|G4040|T1|A|221704257529962|06107|ZCTA5 06107|17233298|538114|G6350|B5|S|138517|99289
27690331919337|0911031240|Glastonbury town|132758374|2376010|G4040|T1|A|221704257529699|06033|ZCTA5 06033|95157419|1442053|G6350|B5|S|95157419|1442053
27690331919337|0911031240|Glastonbury town|132758374|2376010|G4040|T1|A|221704257529840|06073|ZCTA5 06073|37600955|933957|G6350|B5|S|37600955|933957
27690331919338|0911032640|Granby town|105497706|351359|G4040|T1|A|221704257529705|06035|ZCTA5 06035|41021626|373675|G6350|B5|S|41012407|348777
27690331919338|0911032640|Granby town|105497706|351359|G4040|T1|A|221704257529783|06060|ZCTA5 06060|30162747|2582|G6350|B5|S|30162747|2582
27690331919338|0911032640|Granby town|105497706|351359|G4040|T1|A|221704257529901|06090|ZCTA5 06090|34322552|0|G6350|B5|S|34322552|0
27690331919339|0911037070|Hartford town|45012646|1751553|G4040|T5|C|221704257529923|06095|ZCTA5 06095|74844709|3749674|G6350|B5|S|10255|0
27690331919339|0911037070|Hartford town|45012646|1751553|G4040|T5|C|221704257529943|06103|ZCTA5 06103|1502379|313518|G6350|B5|S|1502379|313518
27690331919339|0911037070|Hartford town|45012646|1751553|G4040|T5|C|221704257529945|06105|ZCTA5 06105|5870102|0|G6350|B5|S|5378525|0
27690331919339|0911037070|Hartford town|45012646|1751553|G4040|T5|C|221704257529952|06106|ZCTA5 06106|10790608|3475|G6350|B5|S|10790608|3475
27690331919339|0911037070|Hartford town|45012646|1751553|G4040|T5|C|221704257529981|06110|ZCTA5 06110|8429735|0|G6350|B5|S|20544|0
27690331919339|0911037070|Hartford town|45012646|1751553|G4040|T5|C|221704257529995|06112|ZCTA5 06112|7690024|24339|G6350|B5|S|7690024|24339
27690331919339|0911037070|Hartford town|45012646|1751553|G4040|T5|C|221704257530000|06114|ZCTA5 06114|10475561|365690|G6350|B5|S|10475561|365690
27690331919339|0911037070|Hartford town|45012646|1751553|G4040|T5|C|221704257530016|06120|ZCTA5 06120|9144750|1044531|G6350|B5|S|9144750|1044531
276901151027363|0911037910|Hebron town|95557617|904946|G4040|T1|A|221704257530029|06231|ZCTA5 06231|40550618|477283|G6350|B5|S|40550618|477283
276901151027363|0911037910|Hebron town|95557617|904946|G4040|T1|A|221704257530074|06248|ZCTA5 06248|55006999|427663|G6350|B5|S|55006999|427663
27690331919341|0911044700|Manchester town|70974997|718083|G4040|T1|A|221704257529741|06040|ZCTA5 06040|43841640|393087|G6350|B5|S|43841640|393087
27690331919341|0911044700|Manchester town|70974997|718083|G4040|T1|A|221704257529744|06042|ZCTA5 06042|27138229|324996|G6350|B5|S|27133357|324996
276901151027364|0911044910|Mansfield town|115605879|2640719|G4040|T1|A|221704257530024|06226|ZCTA5 06226|18565576|269440|G6350|B5|S|402890|7808
276901151027364|0911044910|Mansfield town|115605879|2640719|G4040|T1|A|221704257530083|06250|ZCTA5 06250|43289296|2240432|G6350|B5|S|42997929|2240432
276901151027364|0911044910|Mansfield town|115605879|2640719|G4040|T1|A|221704257530117|06268|ZCTA5 06268|68961445|350853|G6350|B5|S|68961445|350853
276901151027364|0911044910|Mansfield town|115605879|2640719|G4040|T1|A|221704257530120|06269|ZCTA5 06269|3243615|41626|G6350|B5|S|3243615|41626
27690331919342|0911045820|Marlborough town|60479197|444481|G4040|T1|A|221704257530402|06447|ZCTA5 06447|60479197|444481|G6350|B5|S|60479197|444481
27690331919343|0911050440|New Britain town|34694283|187384|G4040|T5|C|221704257529690|06032|ZCTA5 06032|59796370|1842879|G6350|B5|S|58803|0
27690331919343|0911050440|New Britain town|34694283|187384|G4040|T5|C|221704257529757|06051|ZCTA5 06051|10628787|0|G6350|B5|S|10619150|0
27690331919343|0911050440|New Britain town|34694283|187384|G4040|T5|C|221704257529762|06052|ZCTA5 06052|6715651|55654|G6350|B5|S|6677415|55654
27690331919343|0911050440|New Britain town|34694283|187384|G4040|T5|C|221704257529772|06053|ZCTA5 06053|20585986|131730|G6350|B5|S|17338915|131730
27690331919344|0911052140|Newington town|34034098|0|G4040|T1|A|221704257529690|06032|ZCTA5 06032|59796370|1842879|G6350|B5|S|287373|0
27690331919344|0911052140|Newington town|34034098|0|G4040|T1|A|221704257529991|06111|ZCTA5 06111|33746725|0|G6350|B5|S|33746725|0
27690331919345|0911060120|Plainville town|25139797|191859|G4040|T1|A|221704257529772|06053|ZCTA5 06053|20585986|131730|G6350|B5|S|2519369|0
27690331919345|0911060120|Plainville town|25139797|191859|G4040|T1|A|221704257529790|06062|ZCTA5 06062|22671396|191859|G6350|B5|S|22620428|191859
27690331919346|0911065370|Rocky Hill town|34867960|997339|G4040|T1|A|221704257529718|06037|ZCTA5 06037|65964528|1739143|G6350|B5|S|441848|0
27690331919346|0911065370|Rocky Hill town|34867960|997339|G4040|T1|A|221704257529814|06067|ZCTA5 06067|34426112|997339|G6350|B5|S|34426112|997339
27690331919347|0911068940|Simsbury town|87883318|951746|G4040|T1|A|221704257529606|06001|ZCTA5 06001|63323447|1223478|G6350|B5|S|415607|83024
27690331919347|0911068940|Simsbury town|87883318|951746|G4040|T1|A|221704257529826|06070|ZCTA5 06070|59052061|612798|G6350|B5|S|59052061|612798
27690331919347|0911068940|Simsbury town|87883318|951746|G4040|T1|A|221704257529866|06081|ZCTA5 06081|1669268|134754|G6350|B5|S|1669268|134754
